Player,Nation,Pos,Squad,Age,Born,Matches Played,Starts,Total Min,90s Played,Goals,Ast,G+A,Non-PK Goals,PK,PKattempts,Crd-Yellow,Crd-Red,xGoals,Non-PK xG,xAG,npxG+xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals per 90,Assists per 90,Goals +Assists  per 90,Non-PK Goals per 90,Non-PK Goals/Assists per 90,xG per 90,xAG per 90,xG+xAG per 90,Non PK xG per 90,xNon PK Goals + Assisted Goals per 90,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Aerials Won,Aerials Lost,Won%,Weekly Wages,Annual Wages,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
Hannibal Mejbri,TUN,"MF,FW",Manchester Utd,21,2003,5,1,133,1.5,1,0,1,1,0,0,1,0,0,0,0.4,0.4,2,6,10,0.68,0,0.68,0.68,0.68,0.02,0.25,0.27,0.02,0.27,0,0,5,6,1,1,0,3,0,0,0,10,2,4,33.3,,,27,4.5,90,1,4,11,9,2,2,1,1,0.68,0.68,1.4,3,-1.6,-1.1,-0.85
Teden Mengi,ENG,DF,Luton Town,21,2002,26,24,"2,183",24.3,1,0,1,1,0,0,3,0,0.4,0.4,0.2,0.6,13,51,1,0.04,0,0.04,0.04,0.04,0.02,0.01,0.03,0.02,0.03,0,0,30,6,1,1,50,17,0,0,0,106,50,37,57.5,"£ 10,000 (€ 11,620, $12,388)","£ 520,000 (€ 604,232, $644,199)",84,71.3,88,22,2,34,3,0.81,34,53,-19,-0.78,0.14,25.1,48.9,-23.8,-0.98,-0.09
Chris Mepham,WAL,DF,Bournemouth,26,1997,10,6,617,6.9,0,1,1,0,0,0,2,0,0.1,0.1,0.4,0.5,4,25,1,0,0.15,0.15,0,0.15,0.01,0.06,0.07,0.01,0.07,0,0,15,2,0,1,7,11,0,0,0,31,29,20,59.2,"£ 35,000 (€ 40,669, $43,360)","£ 1,820,000 (€ 2,114,812, $2,254,695)",62,20.2,83,5,4,31,14,1.6,13,16,-3,-0.44,-0.14,11.9,9.7,2.3,0.33,0.45
Lewis Miley,ENG,MF,Newcastle Utd,17,2006,17,14,"1,202",13.4,1,3,4,1,0,0,1,0,1.2,1.2,1.7,2.9,14,53,54,0.07,0.22,0.3,0.07,0.3,0.09,0.13,0.22,0.09,0.22,0,0,5,6,2,11,8,21,0,0,0,78,11,12,47.8,"£ 5,000 (€ 5,810, $6,194)","£ 260,000 (€ 302,116, $322,099)",71,40.5,80,6,3,29,1,1.18,26,29,-3,-0.22,-1.14,22.5,30.1,-7.6,-0.57,-1.3
James Milner,ENG,"DF,MF",Brighton,38,1986,15,11,773,8.6,0,2,2,0,0,0,3,0,0.3,0.3,1.8,2,11,69,73,0,0.23,0.23,0,0.23,0.03,0.21,0.24,0.03,0.24,0,0,10,4,3,29,8,14,0,1,0,45,6,13,31.6,"£ 60,000 (€ 69,719, $74,331)","£ 3,120,000 (€ 3,625,393, $3,865,192)",52,26,63,1,4,20,2,1.47,10,12,-2,-0.23,-0.23,14.4,12.1,2.2,0.26,0.32
Tyrone Mings,ENG,DF,Aston Villa,31,1993,1,1,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.07,0.09,0.02,0.09,0,0,0,0,0,0,1,0,0,0,0,2,1,0,100,"£ 100,000 (€ 116,198, $123,884)","£ 5,200,000 (€ 6,042,321, $6,441,987)",30,1,30,0,0,,0,0,1,2,-1,-3,-3.65,0.3,1.1,-0.8,-2.43,-2.65
Tyrick Mitchell,ENG,"DF,MF",Crystal Palace,24,1999,32,32,"2,780",30.9,1,3,4,1,0,0,6,0,0.8,0.8,2.4,3.2,19,84,128,0.03,0.1,0.13,0.03,0.13,0.03,0.08,0.1,0.03,0.1,0,0,20,15,1,58,25,53,0,0,0,189,17,23,42.5,"£ 40,000 (€ 46,479, $49,554)","£ 2,080,000 (€ 2,416,928, $2,576,795)",87,93.8,87,29,0,,0,1.18,41,53,-12,-0.38,-0.38,37.9,45.5,-7.6,-0.24,-0.35
Kaoru Mitoma,JPN,FW,Brighton,26,1997,19,15,"1,486",16.5,3,4,7,3,0,0,4,0,3.5,3.5,2.7,6.2,121,64,239,0.18,0.24,0.42,0.18,0.42,0.21,0.16,0.37,0.21,0.37,0,0,14,23,7,44,5,6,0,0,0,68,11,11,50,"£ 80,000 (€ 92,959, $99,107)","£ 4,160,000 (€ 4,833,857, $5,153,589)",78,50,88,12,4,42,0,1.42,32,27,5,0.3,0.73,29.2,23.8,5.4,0.32,0.61
Aleksandar Mitrovi?,SRB,FW,Fulham,29,1994,1,0,33,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,1,0,0,0,0,0,0,0.44,0,0.44,0.44,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakub Moder,POL,MF,Brighton,25,1999,13,4,446,5,0,0,0,0,0,0,2,0,0.5,0.5,0.2,0.6,9,18,20,0,0,0,0,0,0.1,0.03,0.13,0.1,0.13,0,0,6,5,2,6,2,7,0,0,0,33,2,5,28.6,"£ 10,000 (€ 11,620, $12,388)","£ 520,000 (€ 604,232, $644,199)",36,16.9,70,0,9,17,8,1.36,6,11,-5,-0.9,-1.01,5.8,11.3,-5.5,-0.98,-1.2
Kudus Mohammed,GHA,"FW,MF",West Ham,23,2000,29,23,"2,124",23.6,7,4,11,7,0,0,6,0,4.1,4.1,3,7.1,96,74,185,0.3,0.17,0.47,0.3,0.47,0.17,0.13,0.3,0.17,0.3,0,0,34,67,16,88,9,42,1,1,0,186,14,27,34.1,,,73,69.4,88,14,6,17,0,1.34,36,50,-14,-0.59,-1.07,31,41,-10,-0.42,0.14
Gonzalo Montiel,ARG,DF,Nott'ham Forest,27,1997,10,5,502,5.6,0,2,2,0,0,0,4,0,0.1,0.1,0.6,0.7,6,20,21,0,0.36,0.36,0,0.36,0.02,0.11,0.12,0.02,0.12,0,0,5,0,1,12,6,11,0,0,0,28,9,3,75,"£ 25,000 (€ 29,050, $30,971)","£ 1,300,000 (€ 1,510,580, $1,610,497)",50,16.4,74,1,5,27,10,1.2,7,7,0,0,0.63,7.3,6.1,1.2,0.21,0.39
Kieffer Moore,WAL,"FW,MF",Bournemouth,31,1992,8,0,108,1.2,1,0,1,1,0,0,0,0,1.5,1.5,0.2,1.7,2,4,15,0.83,0,0.83,0.83,0.83,1.23,0.2,1.44,1.23,1.44,0,0,5,2,0,2,0,0,0,0,0,4,6,6,50,"£ 15,000 (€ 17,430, $18,583)","£ 780,000 (€ 906,348, $966,298)",14,3.5,,0,8,14,8,0.88,3,2,1,0.83,1.2,4.7,2.5,2.2,1.85,1.95
Álex Moreno,ESP,DF,Aston Villa,30,1993,20,11,"1,030",11.4,2,0,2,2,0,0,2,0,1.1,1.1,1.1,2.3,31,23,83,0.17,0,0.17,0.17,0.17,0.1,0.1,0.2,0.1,0.2,0,0,11,16,2,36,13,12,0,0,1,40,4,10,28.6,"£ 35,000 (€ 40,669, $43,360)","£ 1,820,000 (€ 2,114,812, $2,254,695)",52,33.7,80,5,9,17,4,1.75,24,20,4,0.35,-0.4,20.3,18.2,2.2,0.19,-0.01
Carlton Morris,ENG,"FW,MF",Luton Town,28,1995,34,28,"2,502",27.8,9,4,13,5,4,4,2,0,9.5,6.3,2.8,9.1,30,48,105,0.32,0.14,0.47,0.18,0.32,0.34,0.1,0.44,0.23,0.33,0,0,42,38,9,12,1,6,0,0,0,61,117,150,43.8,"£ 10,000 (€ 11,620, $12,388)","£ 520,000 (€ 604,232, $644,199)",74,81.8,85,18,6,21,0,0.74,35,62,-27,-0.97,-0.81,31.3,59.5,-28.1,-1.01,-0.32
Mason Mount,ENG,"MF,FW",Manchester Utd,25,1999,12,4,436,4.8,1,0,1,1,0,0,2,0,0.3,0.3,0.2,0.5,6,16,31,0.21,0,0.21,0.21,0.21,0.06,0.04,0.11,0.06,0.11,0,0,9,8,0,13,6,12,0,0,0,29,5,9,35.7,"£ 250,000 (€ 290,496, $309,711)","£ 13,000,000 (€ 15,105,802, $16,104,967)",36,14.7,72,0,8,18,0,1.5,3,9,-6,-1.24,-1.49,6.3,8.8,-2.6,-0.53,-0.28
Divin Mubama,ENG,FW,West Ham,19,2004,5,0,80,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,5,0,0,0,0,0,0.17,0,0.17,0.17,0.17,0,0,1,1,0,0,0,0,0,0,0,4,4,5,44.4,"£ 4,000 (€ 4,648, $4,955)","£ 208,000 (€ 241,693, $257,679)",16,2.6,,0,5,16,22,1.6,2,2,0,0,0.27,1.3,2.6,-1.3,-1.46,-1.02
Mykhailo Mudryk,UKR,"FW,MF",Chelsea,23,2001,26,13,"1,224",13.6,4,2,6,4,0,0,4,0,3.5,3.5,3.1,6.7,75,33,114,0.29,0.15,0.44,0.29,0.44,0.25,0.22,0.48,0.25,0.48,0,0,19,21,1,71,7,12,2,0,0,39,5,13,27.8,"£ 100,000 (€ 116,198, $123,884)","£ 5,200,000 (€ 6,042,321, $6,441,987)",47,42.5,71,2,13,23,4,1.31,30,25,5,0.37,0.42,28.9,20.6,8.3,0.61,0.36
Rodrigo Muniz,BRA,FW,Fulham,22,2001,22,15,"1,379",15.3,8,1,9,8,0,0,1,0,7.7,7.7,2,9.8,8,16,66,0.52,0.07,0.59,0.52,0.59,0.5,0.13,0.64,0.5,0.64,0,0,22,27,4,2,4,2,0,0,0,31,69,89,43.7,"£ 7,500 (€ 8,715, $9,291)","£ 390,000 (€ 453,174, $483,149)",63,45.1,82,7,7,21,7,1,23,25,-2,-0.13,-0.02,23.6,22.7,0.9,0.06,0.58
Daniel Muñoz,COL,"DF,MF",Crystal Palace,27,1996,11,11,990,11,0,1,1,0,0,0,3,0,0.8,0.8,0.7,1.4,12,19,50,0,0.09,0.09,0,0.09,0.07,0.06,0.13,0.07,0.13,0,0,21,7,5,8,20,30,0,0,0,52,17,19,47.2,"£ 45,000 (€ 52,289, $55,748)","£ 2,340,000 (€ 2,719,044, $2,898,894)",90,35.3,90,11,0,,0,1.25,19,20,-1,-0.08,0.42,14.6,15.4,-0.7,-0.06,0.24
Arijanet Muric,KVX,GK,Burnley,25,1998,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.01,0.01,0,0.01,0,0,0,3,0,0,0,1,0,0,1,9,2,0,100,"£ 25,000 (€ 29,050, $30,971)","£ 1,300,000 (€ 1,510,580, $1,610,497)",90,17.6,90,6,0,,25,1.5,10,7,3,0.5,1.75,10,10.4,-0.4,-0.06,0.78
Murillo,BRA,DF,Nott'ham Forest,21,2002,28,28,"2,446",27.2,0,2,2,0,0,0,5,0,1.2,1.2,1.2,2.4,19,82,7,0,0.07,0.07,0,0.07,0.04,0.04,0.09,0.04,0.09,0,0,34,6,0,3,29,25,0,0,1,134,32,38,45.7,"£ 30,000 (€ 34,860, $37,165)","£ 1,560,000 (€ 1,812,696, $1,932,596)",87,79.9,87,25,0,,0,0.82,34,49,-15,-0.55,-0.11,35.3,37,-1.6,-0.06,0.29
Alex Murphy,IRL,"FW,DF",Newcastle Utd,19,2004,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,,,,4,0.1,,0,1,4,13,3,0,0,0,0,-0.46,0,0,0,0,-0.21
Jacob Murphy,ENG,"FW,DF",Newcastle Utd,29,1995,15,8,797,8.9,2,3,5,2,0,0,1,0,1.3,1.3,2.6,3.9,24,36,66,0.23,0.34,0.56,0.23,0.56,0.14,0.29,0.44,0.14,0.44,0,0,7,11,1,55,3,7,0,0,0,49,2,8,20,"£ 35,000 (€ 40,669, $43,360)","£ 1,820,000 (€ 2,114,812, $2,254,695)",54,29,80,5,7,20,5,1.94,27,16,11,1.15,0.98,21.1,13,8.1,0.85,0.9
Vitaliy Mykolenko,UKR,DF,Everton,24,1999,27,27,"2,424",26.9,2,0,2,2,0,0,1,0,1.5,1.5,0.9,2.4,14,55,68,0.07,0,0.07,0.07,0.07,0.06,0.03,0.09,0.06,0.09,0,0,23,9,1,56,36,38,0,0,0,142,30,27,52.6,"£ 58,000 (€ 67,395, $71,853)","£ 3,016,000 (€ 3,504,546, $3,736,352)",88,80.7,88,25,0,,4,1.32,30,37,-7,-0.26,0.51,38.7,40,-1.3,-0.05,-0.06
Marvelous Nakamba,ZIM,MF,Luton Town,30,1994,13,13,"1,130",12.6,0,0,0,0,0,0,5,0,0.2,0.2,0.4,0.6,1,36,5,0,0,0,0,0,0.01,0.03,0.05,0.01,0.05,0,0,24,9,0,4,11,24,0,0,0,90,4,7,36.4,"£ 30,000 (€ 34,860, $37,165)","£ 1,560,000 (€ 1,812,696, $1,932,596)",87,36.9,87,10,0,,0,0.46,10,24,-14,-1.12,-0.46,12.8,25.7,-12.9,-1.02,-0.11
Michael Ndiweni,ENG,FW,Newcastle Utd,20,2003,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,0,1,1,0,3,0,0,0,0,-0.45,0,0,0,0,-0.21
Reiss Nelson,ENG,FW,Arsenal,24,1999,15,1,268,3,0,0,0,0,0,0,1,0,0.2,0.2,0.6,0.8,9,5,26,0,0,0,0,0,0.07,0.2,0.27,0.07,0.27,0,0,5,6,0,14,1,6,0,0,0,22,0,5,0,"£ 100,000 (€ 116,198, $123,884)","£ 5,200,000 (€ 6,042,321, $6,441,987)",18,8.8,74,0,14,14,15,2.27,10,1,9,3.02,1.51,7,2.2,4.8,1.62,0.38
Zack Nelson,ENG,"MF,DF",Luton Town,19,2004,2,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4,0.2,,0,2,4,14,0.5,1,1,0,0,0.83,0.2,1.1,-0.9,-13.13,-12.2
Neto,BRA,GK,Bournemouth,34,1989,31,31,"2,790",31,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,37,9,0,100,"£ 50,000 (€ 58,099, $61,942)","£ 2,600,000 (€ 3,021,160, $3,220,993)",90,91.2,90,31,0,,1,1.26,45,53,-8,-0.26,0.74,46.8,48.3,-1.5,-0.05,-0.25
Pedro Neto,POR,"FW,MF",Wolves,24,2000,19,18,"1,503",16.7,2,9,11,2,0,0,4,0,3.4,3.4,4.4,7.9,97,54,148,0.12,0.54,0.66,0.12,0.66,0.21,0.27,0.47,0.21,0.47,0,0,15,20,2,115,4,3,1,0,0,79,4,18,18.2,"£ 50,000 (€ 58,099, $61,942)","£ 2,600,000 (€ 3,021,160, $3,220,993)",79,49.1,83,12,1,11,1,1.47,22,27,-5,-0.3,-0.13,21.7,29,-7.3,-0.44,-0.09
Moussa Niakhate,SEN,DF,Nott'ham Forest,28,1996,17,13,"1,250",13.9,1,0,1,1,0,0,4,1,1.1,1.1,0.1,1.2,12,35,6,0.07,0,0.07,0.07,0.07,0.08,0.01,0.09,0.08,0.09,1,1,9,4,0,11,12,21,0,0,0,87,13,5,72.2,"£ 45,000 (€ 52,289, $55,748)","£ 2,340,000 (€ 2,719,044, $2,898,894)",74,40.8,87,12,4,29,12,0.82,18,30,-12,-0.86,-0.57,18.2,22.8,-4.6,-0.33,-0.36
Eddie Nketiah,ENG,FW,Arsenal,24,1999,27,10,"1,082",12,5,2,7,5,0,0,3,0,4.5,4.5,0.8,5.4,22,20,77,0.42,0.17,0.58,0.42,0.58,0.38,0.07,0.45,0.38,0.45,0,0,24,28,8,5,4,7,2,0,0,24,23,27,46,"£ 100,000 (€ 116,198, $123,884)","£ 5,200,000 (€ 6,042,321, $6,441,987)",40,35.4,78,3,17,18,7,2.15,24,10,14,1.16,-0.75,22.3,10.3,12.1,1,-0.42
Christopher Nkunku,FRA,"FW,MF",Chelsea,26,1997,7,2,319,3.5,2,0,2,2,0,0,0,0,1.7,1.7,0.1,1.9,7,9,28,0.56,0,0.56,0.56,0.56,0.49,0.04,0.53,0.49,0.53,0,0,6,3,3,1,2,1,0,0,0,4,5,2,71.4,"£ 195,000 (€ 226,587, $241,575)","£ 10,140,000 (€ 11,782,526, $12,561,874)",46,11.1,71,0,5,36,1,1.43,8,10,-2,-0.56,-0.78,6.6,6.2,0.4,0.11,-0.33
Rhys Norrington-Davies,WAL,DF,Sheffield Utd,25,1999,5,2,110,1.2,0,0,0,0,0,0,1,0,0,0,0,0,3,2,6,0,0,0,0,0,0,0.01,0.01,0,0.01,0,0,3,1,1,2,1,1,0,0,0,4,1,1,50,"£ 4,000 (€ 4,648, $4,955)","£ 208,000 (€ 241,693, $257,679)",22,3.6,27,0,3,19,1,0.8,1,6,-5,-4.09,-2.44,1.7,2.5,-0.7,-0.6,0.4
Oliver Norwood,NIR,MF,Sheffield Utd,33,1991,26,16,"1,427",15.9,1,0,1,0,1,1,8,0,1.1,0.3,0.6,0.9,3,72,10,0.06,0,0.06,0,0,0.07,0.04,0.11,0.02,0.06,0,0,15,9,0,52,21,26,0,1,0,98,14,16,46.7,"£ 20,000 (€ 23,240, $24,777)","£ 1,040,000 (€ 1,208,464, $1,288,397)",53,47.1,82,12,11,11,6,0.44,12,47,-35,-2.19,-0.85,12.2,35.8,-23.6,-1.47,-0.92
Matheus Nunes,POR,MF,Wolves,25,1998,2,2,179,2,0,0,0,0,0,0,2,1,0.1,0.1,0.1,0.2,7,8,9,0,0,0,0,0,0.04,0.05,0.09,0.04,0.09,1,1,1,7,3,3,6,1,0,0,0,10,2,1,66.7,"£ 130,000 (€ 151,058, $161,050)","£ 6,760,000 (€ 7,855,017, $8,374,583)",90,5.8,90,1,0,,0,0,1,5,-4,-2.01,-1.89,4.3,4.4,-0.1,-0.06,0.34
Darwin Núñez,URU,FW,Liverpool,24,1999,31,21,"1,893",21,11,8,19,11,0,1,8,0,15,14.2,5.6,19.8,53,52,192,0.52,0.38,0.9,0.52,0.9,0.71,0.27,0.98,0.67,0.94,0,0,26,14,30,17,3,12,1,0,0,53,34,54,38.6,"£ 140,000 (€ 162,678, $173,438)","£ 7,280,000 (€ 8,459,249, $9,018,781)",62,64.8,79,9,10,24,1,2.22,48,22,26,1.18,-0.07,51.1,24.6,26.5,1.2,0.39
Ethan Nwaneri,ENG,FW,Arsenal,17,2007,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0.15,0.15,0,0.15,0,0,1,1,0,0,0,0,0,0,0,0,1,0,100,,,14,0.5,,0,1,14,1,3,0,0,0,0,-1.65,0,0.1,-0.1,-0.69,-1.97
Christian Nørgaard,DEN,MF,Brentford,30,1994,27,26,"2,195",24.4,2,1,3,2,0,0,8,0,3.4,3.4,1.7,5.1,12,146,39,0.08,0.04,0.12,0.08,0.12,0.14,0.07,0.21,0.14,0.21,0,0,33,27,1,19,47,46,0,0,0,187,39,42,48.1,"£ 35,000 (€ 40,669, $43,360)","£ 1,820,000 (€ 2,114,812, $2,254,695)",81,71.7,84,19,1,20,0,0.96,34,46,-12,-0.49,-1.01,37.3,37.6,-0.3,-0.01,-0.54
Mark O'Mahony,IRL,FW,Brighton,19,2005,1,0,2,0,0,0,0,0,0,0,1,0,1.841666667,1.710815603,1.317553191,3.02748227,21.93262411,45.37588652,44.90248227,0,0,0,0,0,0.148191489,0.102943262,0.251560284,0.141453901,0.244822695,0,0,1,0,0,0,0,0,,,0,,,,,,,9,0.6,,0,2,9,6,0.5,0,0,0,0,0.06,,,,,
Dara O'Shea,IRL,DF,Burnley,25,1999,29,28,"2,532",28.1,2,4,6,2,0,0,5,1,0.6,0.6,1.9,2.5,26,112,8,0.07,0.14,0.21,0.07,0.21,0.02,0.07,0.09,0.02,0.09,1,0,32,13,1,9,25,16,0,0,1,124,107,61,63.7,"£ 20,000 (€ 23,240, $24,777)","£ 1,040,000 (€ 1,208,464, $1,288,397)",87,82.7,89,25,1,45,1,0.62,32,62,-30,-1.07,-0.73,29.9,52.1,-22.3,-0.79,-0.47
Michael Obafemi,IRL,"FW,MF",Burnley,23,2000,2,0,20,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,3,0,0,0,0,0,0.4,0,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"£ 15,000 (€ 17,430, $18,583)","£ 780,000 (€ 906,348, $966,298)",10,0.7,,0,2,10,4,1.5,1,0,1,4.5,5.48,0.4,0,0.4,1.78,2.51
Wilson Odobert,FRA,"MF,FW",Burnley,19,2004,25,21,"1,738",19.3,3,2,5,3,0,0,2,0,2.3,2.3,2.9,5.2,80,46,97,0.16,0.1,0.26,0.16,0.26,0.12,0.15,0.27,0.12,0.27,0,0,7,18,1,21,4,11,0,0,0,81,8,14,36.4,"£ 10,000 (€ 11,620, $12,388)","£ 520,000 (€ 604,232, $644,199)",70,56.8,81,7,4,10,4,0.64,21,39,-18,-0.93,0.02,20.5,36.2,-15.7,-0.81,-0.24
Chiedozie Ogbene,IRL,"MF,DF",Luton Town,26,1997,28,19,"1,902",21.1,4,1,5,4,0,0,1,0,4.1,4.1,3.1,7.2,122,47,142,0.19,0.05,0.24,0.19,0.24,0.19,0.15,0.34,0.19,0.34,0,0,8,47,7,77,5,10,1,0,0,120,26,23,53.1,"£ 15,000 (€ 17,430, $18,583)","£ 780,000 (€ 906,348, $966,298)",68,62.2,87,14,9,27,0,0.79,33,42,-9,-0.43,1.05,28.8,43.7,-14.9,-0.7,0.66
Angelo Ogbonna,ITA,DF,West Ham,35,1988,8,4,366,4.1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,0,0,0,2,0,0,2,2,0,0,0,5,4,2,66.7,"£ 70,000 (€ 81,339, $86,719)","£ 3,640,000 (€ 4,229,625, $4,509,391)",46,12,79,3,4,13,26,2,7,6,1,0.25,0.58,8.2,9.5,-1.3,-0.31,0.17
Michael Olakigbe,ENG,"DF,FW",Brentford,19,2004,8,0,59,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,10,4,17,0,0,0,0,0,0.18,0,0.18,0.18,0.18,0,0,2,2,1,7,1,0,0,0,0,7,1,2,33.3,,,7,1.9,,0,8,7,9,0.63,1,0,1,1.53,1.77,2,0.8,1.3,1.93,1.82
Michael Olise,FRA,"FW,MF",Crystal Palace,22,2001,14,10,906,10.1,7,4,11,6,1,1,0,0,3.6,2.8,4.2,7,44,50,96,0.7,0.4,1.09,0.6,0.99,0.35,0.42,0.77,0.28,0.69,0,0,9,35,2,81,8,8,0,0,0,49,6,13,31.6,"£ 100,000 (€ 116,198, $123,884)","£ 5,200,000 (€ 6,042,321, $6,441,987)",62,30.2,83,7,5,18,0,1.2,21,17,4,0.39,1.06,15.3,14.4,0.9,0.09,0.44
Robin Olsen,SWE,GK,Aston Villa,34,1990,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,"£ 50,000 (€ 58,099, $61,942)","£ 2,600,000 (€ 3,021,160, $3,220,993)",90,5.9,90,2,0,,25,1.5,4,5,-1,-0.5,-1.19,3.3,4.1,-0.8,-0.42,-0.65
Andrew Omobamidele,IRL,DF,Nott'ham Forest,21,2002,10,8,766,8.5,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,1,8,0,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,0,0,6,3,0,0,13,3,0,0,1,20,7,9,43.8,"£ 35,000 (€ 40,669, $43,360)","£ 1,820,000 (€ 2,114,812, $2,254,695)",77,25,90,8,2,23,6,0.8,12,15,-3,-0.35,0.24,10.7,11.7,-1,-0.11,0.01
Amadou Onana,BEL,MF,Everton,22,2001,25,21,"1,846",20.5,2,0,2,2,0,0,5,0,1.8,1.8,2.7,4.5,19,101,35,0.1,0,0.1,0.1,0.1,0.09,0.13,0.22,0.09,0.22,0,0,35,41,1,3,15,33,0,1,0,145,47,17,73.4,"£ 100,000 (€ 116,198, $123,884)","£ 5,200,000 (€ 6,042,321, $6,441,987)",72,60.8,82,14,5,28,1,1,19,36,-17,-0.82,-1.2,30,32.4,-2.4,-0.12,-0.21
André Onana,CMR,GK,Manchester Utd,28,1996,32,32,"2,880",32,0,0,0,0,0,0,5,0,0,0,0.1,0.1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,36,13,2,86.7,"£ 120,000 (€ 139,438, $148,661)","£ 6,240,000 (€ 7,250,785, $7,730,384)",90,100,90,33,0,,0,1.61,51,50,1,0.03,,50.2,59.8,-9.6,-0.29,
Ryan One,SCO,FW,Sheffield Utd,17,2006,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,8,0.3,,0,1,8,3,0,0,2,-2,-22.5,-20.82,0,1.2,-1.2,-13.13,-12.17
Tyler Onyango,ENG,MF,Everton,21,2003,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"£ 5,000 (€ 5,810, $6,194)","£ 260,000 (€ 302,116, $322,099)",1,0,,0,1,1,4,0,0,0,0,0,0.35,0,0,0,0,0.04
Fred Onyedinma,ENG,"DF,MF",Luton Town,27,1996,5,2,263,2.9,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,7,1,12,0,0,0,0,0,0.04,0.03,0.07,0.04,0.07,0,0,5,3,0,8,1,5,0,1,0,8,6,3,66.7,"£ 5,577 (€ 6,526, $7,101)","£ 290,000 (€ 339,332, $369,266)",53,8.6,81,0,3,34,0,0.6,4,11,-7,-2.4,-1.72,2,7.7,-5.7,-1.94,-1.08
Frank Onyeka,NGA,MF,Brentford,26,1998,25,11,"1,152",12.8,1,2,3,1,0,0,8,0,2.2,2.2,1.8,4,17,33,39,0.08,0.16,0.23,0.08,0.23,0.17,0.14,0.31,0.17,0.31,0,0,24,31,4,15,23,23,0,0,0,71,10,23,30.3,"£ 40,000 (€ 46,479, $49,554)","£ 2,080,000 (€ 2,416,928, $2,576,795)",46,37.6,78,3,14,21,3,0.84,17,27,-10,-0.78,-0.92,22.8,21.6,1.2,0.09,-0.07
Divock Origi,BEL,FW,Nott'ham Forest,29,1995,20,6,606,6.7,0,1,1,0,0,0,1,0,1.4,1.4,2.1,3.5,19,14,41,0,0.15,0.15,0,0.15,0.21,0.31,0.51,0.21,0.51,0,0,14,8,5,13,2,4,0,0,0,16,11,17,39.3,"£ 120,000 (€ 139,438, $148,661)","£ 6,240,000 (€ 7,250,785, $7,730,384)",30,19.8,57,0,14,19,3,0.6,4,6,-2,-0.3,0.29,9.6,9.4,0.1,0.02,0.17
Stefan Ortega,GER,GK,Manchester City,31,1992,6,4,478,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1,0,100,"£ 55,000 (€ 63,909, $68,136)","£ 2,860,000 (€ 3,323,277, $3,543,093)",80,16.1,90,4,2,59,27,2.33,13,6,7,1.32,-0.16,10.4,5.9,4.5,0.85,-0.33
