Player,Nation,Pos,Squad,Age,Born,Matches Played,Starts,Total Min,90s Played,Goals,Ast,G+A,Non-PK Goals,PK,PKattempts,Crd-Yellow,Crd-Red,xGoals,Non-PK xG,xAG,npxG+xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals per 90,Assists per 90,Goals +Assists  per 90,Non-PK Goals per 90,Non-PK Goals/Assists per 90,xG per 90,xAG per 90,xG+xAG per 90,Non PK xG per 90,xNon PK Goals + Assisted Goals per 90,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Aerials Won,Aerials Lost,Won%,Weekly Wages,Annual Wages,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
Curtis Jones,ENG,MF,Liverpool,23,2001,20,13,"1,080",12,1,1,2,1,0,0,3,1,2.5,2.5,0.5,3,29,67,77,0.08,0.08,0.17,0.08,0.17,0.21,0.04,0.25,0.21,0.25,1,0,16,14,5,4,7,14,0,0,0,72,7,12,36.8,"£ 15,000 (€ 17,430, $18,583)","£ 780,000 (€ 906,348, $966,298)",54,37.3,70,4,7,22,2,1.95,31,15,16,1.26,0.09,31,14.9,16.1,1.27,0.32
Jorginho,ITA,MF,Arsenal,32,1991,23,10,920,10.2,0,2,2,0,0,0,1,0,0.1,0.1,1.4,1.5,8,101,8,0,0.2,0.2,0,0.2,0.01,0.14,0.15,0.01,0.15,0,0,9,15,0,3,12,10,0,0,0,49,7,7,50,"£ 110,000 (€ 127,818, $136,273)","£ 5,720,000 (€ 6,646,553, $7,086,185)",40,30.1,78,3,13,11,10,2.39,25,11,14,1.37,-0.4,21.2,8.2,13,1.28,0
Diogo Jota,POR,FW,Liverpool,27,1996,21,14,"1,145",12.7,10,3,13,10,0,0,3,1,5.3,5.3,3.3,8.6,54,34,111,0.79,0.24,1.02,0.79,1.02,0.42,0.26,0.68,0.42,0.68,1,1,27,21,3,9,7,13,2,0,0,48,17,38,30.9,"£ 140,000 (€ 162,678, $173,438)","£ 7,280,000 (€ 8,459,249, $9,018,781)",55,37.4,71,3,7,22,0,2.29,34,10,24,1.89,1.09,28.5,14,14.5,1.14,0.11
Mads Juel Andersen,DEN,DF,Luton Town,26,1997,8,4,400,4.4,1,0,1,1,0,0,1,0,0.3,0.3,0,0.3,0,7,1,0.23,0,0.23,0.23,0.23,0.06,0,0.06,0.06,0.06,0,0,6,2,0,0,8,5,0,0,0,25,11,5,68.8,"£ 15,000 (€ 17,430, $18,583)","£ 780,000 (€ 906,348, $966,298)",50,13.1,78,2,4,22,4,1.13,2,6,-4,-0.9,-0.09,3.5,7.3,-3.8,-0.86,0.1
Hamed Junior Traorè,CIV,MF,Bournemouth,24,2000,3,0,47,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,2,3,4,0,0,0,0,0,0.34,0.07,0.41,0.34,0.41,0,0,0,0,0,3,0,0,0,0,0,4,1,1,50,"£ 45,000 (€ 52,289, $55,748)","£ 2,340,000 (€ 2,719,044, $2,898,894)",16,1.5,,0,3,16,7,0,0,1,-1,-1.91,-1.62,1.3,0.8,0.5,0.93,0.97
Mathias Jørgensen,DEN,DF,Brentford,34,1990,13,11,997,11.1,1,0,1,1,0,0,4,0,0.7,0.7,0.9,1.6,4,43,4,0.09,0,0.09,0.09,0.09,0.07,0.08,0.15,0.07,0.15,0,0,11,6,3,8,12,11,0,0,0,60,24,23,51.1,"£ 25,000 (€ 29,050, $30,971)","£ 1,300,000 (€ 1,510,580, $1,610,497)",77,32.6,90,10,2,4,20,0.62,14,20,-6,-0.54,-0.5,13.7,16.3,-2.7,-0.24,-0.56
Issa Kaboré,BFA,DF,Luton Town,22,2001,24,21,"1,729",19.2,0,2,2,0,0,0,7,0,0.2,0.2,2.1,2.3,60,54,85,0,0.1,0.1,0,0.1,0.01,0.11,0.12,0.01,0.12,0,0,27,30,2,66,16,28,0,0,1,102,17,18,48.6,"£ 20,000 (€ 23,240, $24,777)","£ 1,040,000 (€ 1,208,464, $1,288,397)",72,56.5,79,13,3,24,4,0.58,23,39,-16,-0.83,-0.02,18.2,36.8,-18.7,-0.97,-0.04
Sasa Kalajdzic,AUT,FW,Wolves,26,1997,11,1,166,1.8,2,0,2,2,0,0,0,0,1.1,1.1,1,2,1,5,9,1.08,0,1.08,1.08,1.08,0.57,0.52,1.09,0.57,1.09,0,0,6,4,2,1,1,2,0,0,0,4,8,4,66.7,"£ 35,000 (€ 40,669, $43,360)","£ 1,820,000 (€ 2,114,812, $2,254,695)",15,5.4,60,0,10,11,9,1.09,6,2,4,2.17,2.54,5.5,2.7,2.8,1.5,2
Boubacar Kamara,FRA,MF,Aston Villa,24,1999,20,20,"1,652",18.4,0,1,1,0,0,0,7,1,0.1,0.1,1.3,1.4,19,83,10,0,0.05,0.05,0,0.05,0.01,0.07,0.08,0.01,0.08,1,0,35,29,0,2,21,29,0,0,0,97,19,25,43.2,"£ 150,000 (€ 174,298, $185,827)","£ 7,800,000 (€ 9,063,481, $9,662,980)",83,54,83,10,0,,0,2.05,36,22,14,0.76,0.32,31.1,24.7,6.4,0.35,0.33
Willy Kambwala,FRA,DF,Manchester Utd,19,2004,7,3,314,3.5,0,0,0,0,0,0,1,0,0,0,0,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,4,0,0,0,0,11,5,2,71.4,"£ 7,500 (€ 8,715, $9,291)","£ 390,000 (€ 453,174, $483,149)",45,10.6,88,2,4,13,6,1.14,5,10,-5,-1.43,-1.64,3.2,8.1,-4.9,-1.4,-1.24
